                             	opt-blind       	sat-hradd      	opt-hmax       	opt-hrmax      	sat-hadd        	sat-aibr
Expanded Nodes               	72595.0         	465.0          	40179.0        	40179.0        	465.0           	986.0
Grounding Time               	30.63 +/- 5.28  	36.17 +/- 7.95 	27.57 +/- 3.02 	27.93 +/- 3.49 	40.93 +/- 10.77 	35.5 +/- 5.69
Heuristic Time (msec)        	2.03 +/- 1.17   	61.63 +/- 8.67 	363.0 +/- 15.31	374.7 +/- 18.23	63.03 +/- 9.95  	446.7 +/- 40.16
Metric (Search)              	40.0            	60.0           	40.0           	40.0           	60.0            	58.0
Number of Dead-Ends detected 	0.0             	1.0            	2644.0         	2644.0         	1.0             	58.0
Number of Duplicates detected	51934.0         	464.0          	26155.0        	26155.0        	464.0           	423.0
Planning Time (msec)         	631.97 +/- 25.61	432.7 +/- 47.96	865.7 +/- 23.23	896.83 +/- 34.5	447.67 +/- 74.51	860.4 +/- 84.29
Search Time (msec)           	432.5 +/- 17.47 	98.33 +/- 10.21	633.6 +/- 16.14	655.6 +/- 26.33	102.03 +/- 16.14	528.0 +/- 53.59
States Evaluated             	72915.0         	1334.0         	46383.0        	46383.0        	1334.0          	2095.0
|A|                          	23.0            	22.0           	22.0           	22.0           	22.0            	22.0
|E|                          	12.0            	8.0            	8.0            	8.0            	8.0             	8.0
|F|                          	38.0            	30.0           	30.0           	30.0           	30.0            	30.0
|P|                          	7.0             	7.0            	7.0            	7.0            	7.0             	7.0
|X|                          	6.0             	6.0            	6.0            	6.0            	6.0             	6.0